episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,16.68,10.68,191,caught,0.9999,0.9999,0.0,0.0
1,-2.32,11.68,141,caught,0.9999,0.9999,1.021667,0.214365
2,21.75,-10.75,600,cleared,0.9998,0.9998,0.033679,0.030542
3,5.84,9.84,233,caught,0.9997,0.9997,0.069923,0.102022
4,-1.46,2.54,598,timeout,0.9997,0.9997,0.410874,0.049381
5,36.5,-10.5,600,cleared,0.9996,0.9996,0.049663,0.034777
6,-3.0,-11.0,600,timeout,0.9995,0.9995,0.014118,0.031564
7,40.96,4.96,477,cleared,0.9994,0.9994,0.053977,0.453765
8,20.75,-9.75,600,cleared,0.9994,0.9994,0.034006,0.030925
9,16.56,10.56,197,caught,0.9993,0.9993,0.051059,0.042814
10,25.04,9.04,273,caught,0.9992,0.9992,0.062602,0.052432
11,9.8,3.8,535,timeout,0.9992,0.9992,0.076609,0.15322
12,16.58,10.58,196,caught,0.9991,0.9991,0.109188,0.042561
13,9.94,8.94,278,caught,0.999,0.999,0.084126,0.069746
14,4.0,-8.0,600,timeout,0.999,0.999,0.084637,0.074856
15,7.78,11.78,136,caught,0.9989,0.9989,0.176609,0.07083
16,35.75,-9.75,600,cleared,0.9988,0.9988,0.060651,0.108163
17,-12.04,11.96,127,caught,0.9987,0.9987,0.049123,0.059727
18,35.25,-9.25,600,cleared,0.9987,0.9987,0.071304,0.031984
19,46.5,-10.5,600,cleared,0.9986,0.9986,0.057036,0.032329
20,-1.92,7.08,371,caught,0.9985,0.9985,0.077782,0.050048
21,-4.06,4.94,478,timeout,0.9985,0.9985,0.204031,0.126399
22,10.28,9.28,261,caught,0.9984,0.9984,0.11841,0.157179
23,46.25,-10.25,600,cleared,0.9983,0.9983,0.101876,0.052317
24,30.5,-9.5,600,cleared,0.9983,0.9983,0.117913,0.05195
25,41.75,-10.75,600,cleared,0.9982,0.9982,0.17962,0.049067
26,4.74,8.74,288,caught,0.9981,0.9981,0.122893,0.079632
27,36.72,5.72,439,caught,0.998,0.998,0.124371,0.054344
28,21.25,-10.25,600,cleared,0.998,0.998,0.156951,0.065897
29,3.0,12.0,125,caught,0.9979,0.9979,0.161086,0.147436
30,5.66,9.66,242,caught,0.9978,0.9978,0.174164,0.156688
31,32.0,6.0,425,caught,0.9978,0.9978,0.32387,0.188975
32,25.5,-9.5,600,cleared,0.9977,0.9977,0.159913,0.076455
33,7.92,6.92,379,caught,0.9976,0.9976,0.207313,0.148672
34,5.28,4.28,511,timeout,0.9976,0.9976,0.226224,0.123409
35,20.0,-9.0,600,cleared,0.9975,0.9975,0.137592,0.236545
36,21.0,-10.0,600,cleared,0.9974,0.9974,0.549478,0.2199
37,-17.1,11.9,130,caught,0.9973,0.9973,0.15275,0.103223
38,-8.72,10.28,211,caught,0.9973,0.9973,0.219734,0.140107
39,34.5,-8.5,600,cleared,0.9972,0.9972,0.17534,0.088959
40,-6.34,12.66,92,caught,0.9971,0.9971,0.177366,0.087429
41,14.32,3.32,559,cleared,0.9971,0.9971,0.290868,0.239472
42,5.5,-9.5,600,timeout,0.997,0.997,0.27646,0.281082
43,-0.88,8.12,319,caught,0.9969,0.9969,0.221221,0.206429
44,-7.0,7.0,375,caught,0.9969,0.9969,0.347514,0.23123
45,14.75,-8.75,600,cleared,0.9968,0.9968,0.275682,0.248979
46,14.82,8.82,284,caught,0.9967,0.9967,0.204454,0.174633
47,5.52,9.52,249,caught,0.9966,0.9966,0.233819,0.187874
48,26.25,-10.25,600,cleared,0.9966,0.9966,0.260848,0.261297
49,14.34,8.34,308,caught,0.9965,0.9965,0.174222,0.069659
50,-0.72,8.28,311,caught,0.9964,0.9964,0.250127,0.60328
51,30.5,-9.5,600,cleared,0.9964,0.9964,0.280311,0.177742
52,20.0,-9.0,600,cleared,0.9963,0.9963,0.233981,0.329133
53,-6.26,12.74,88,caught,0.9962,0.9962,0.282701,0.100689
54,5.04,4.04,523,timeout,0.9962,0.9962,0.270555,0.240135
55,25.75,-9.75,600,cleared,0.9961,0.9961,0.209125,0.184774
56,-6.04,7.96,327,caught,0.996,0.996,0.302938,0.191218
57,20.75,-9.75,600,cleared,0.9959,0.9959,0.397341,0.255023
58,-0.36,8.64,293,caught,0.9959,0.9959,0.327347,0.305528
59,15.18,9.18,266,caught,0.9958,0.9958,0.26124,0.308938
60,24.75,-8.75,600,cleared,0.9957,0.9957,0.277648,0.279039
61,-2.42,6.58,396,caught,0.9957,0.9957,0.454887,0.399213
62,14.34,8.34,308,caught,0.9956,0.9956,0.357968,0.32406
63,25.25,-9.25,600,cleared,0.9955,0.9955,0.31175,0.223695
64,31.32,10.32,209,caught,0.9955,0.9955,0.315277,0.513229
65,-10.75,-8.25,600,timeout,0.9954,0.9954,0.237593,0.22589
66,0.42,4.42,504,timeout,0.9953,0.9953,0.317634,0.49631
67,30.25,-9.25,600,cleared,0.9953,0.9953,0.311772,0.920133
68,10.25,-9.25,600,cleared,0.9952,0.9952,0.313655,0.39741
