episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,-18.7,4.3,294,timeout,0.9995,0.9995,0.097829,0.102192
1,-10.1,12.9,122,caught,0.999,0.999,1.057427,0.11038
2,-12.0,-28.0,600,timeout,0.9985,0.9985,0.091865,0.128629
3,-14.4,8.6,208,caught,0.998,0.998,0.453874,0.120189
4,-32.9,-9.9,578,timeout,0.9975,0.9975,1.0656,0.154945
5,1.15,9.15,197,caught,0.997,0.997,0.180982,0.124781
6,17.5,-27.5,600,cleared,0.9965,0.9965,0.153688,0.131444
7,-17.5,-22.5,600,timeout,0.996,0.996,0.115998,0.120043
8,-0.9,-7.9,538,timeout,0.9955,0.9955,0.114201,0.250608
9,12.0,-27.0,600,cleared,0.995,0.995,0.055846,0.127927
10,8.1,11.1,158,caught,0.9945,0.9945,0.069998,0.177432
11,-7.55,15.45,71,caught,0.994,0.994,0.068516,0.342904
12,-2.95,-4.95,479,timeout,0.9935,0.9935,0.03597,0.158486
13,-3.35,4.65,287,timeout,0.993,0.993,0.060081,0.138758
14,-23.0,5.0,280,caught,0.9925,0.9925,0.176682,0.152426
15,-2.25,0.75,365,timeout,0.992,0.992,0.093851,0.175644
16,35.0,-25.0,600,cleared,0.9915,0.9915,0.331473,0.136278
17,0.05,-1.95,419,timeout,0.991,0.991,0.083719,0.146674
18,-9.8,8.2,216,caught,0.9905,0.9905,0.074035,0.137733
19,3.0,-23.0,600,timeout,0.99,0.99,0.067615,0.183049
20,-24.75,3.25,315,timeout,0.9896,0.9896,0.076613,0.154916
21,12.7,-9.3,566,cleared,0.9891,0.9891,0.09741,0.148261
22,3.0,-28.0,600,timeout,0.9886,0.9886,0.122352,0.131937
23,-11.7,1.3,354,timeout,0.9881,0.9881,0.57571,0.161747
24,-23.75,-0.75,395,timeout,0.9876,0.9876,0.054392,0.12222
25,-10.9,-2.9,438,timeout,0.9871,0.9871,0.102039,0.203451
26,-13.5,-26.5,600,timeout,0.9866,0.9866,0.26501,0.363824
27,11.0,-26.0,600,cleared,0.9861,0.9861,0.208337,0.153312
28,-10.65,7.35,233,caught,0.9856,0.9856,0.235024,0.221816
29,-6.4,1.6,348,timeout,0.9851,0.9851,0.165985,0.152745
30,-5.8,12.2,136,caught,0.9846,0.9846,0.135587,0.193135
31,-13.95,-0.95,399,timeout,0.9841,0.9841,0.202944,0.388125
32,10.5,-25.5,600,cleared,0.9836,0.9836,0.180521,0.167823
33,-5.0,-25.0,600,timeout,0.9831,0.9831,0.177698,0.178676
34,-22.6,5.4,272,caught,0.9826,0.9826,0.183219,0.151166
35,-24.9,8.1,218,caught,0.9822,0.9822,0.108698,0.223959
36,-14.75,13.25,115,caught,0.9817,0.9817,0.144772,0.210975
37,15.65,8.65,207,caught,0.9812,0.9812,0.22056,0.172147
38,-2.4,5.6,268,caught,0.9807,0.9807,0.201727,0.136796
39,-2.65,10.35,173,caught,0.9802,0.9802,0.150399,0.180517
