episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,-20.5,-14.5,400,timeout,0.9995,0.9995,0.170612,0.120406
1,9.5,-14.5,400,timeout,0.999,0.999,0.329044,0.112911
2,-2.1,0.9,362,timeout,0.9985,0.9985,0.168424,0.147895
3,-13.05,14.95,81,caught,0.998,0.998,0.997105,0.128816
4,5.5,-15.5,400,timeout,0.9975,0.9975,0.116211,0.737316
5,-13.8,-0.8,396,timeout,0.997,0.997,0.101887,0.190409
6,-1.8,6.2,256,caught,0.9965,0.9965,0.211606,0.118043
7,-18.0,15.0,80,caught,0.996,0.996,0.295806,0.786624
8,-4.6,3.4,312,timeout,0.9955,0.9955,0.269171,0.15602
9,-10.6,7.4,232,caught,0.995,0.995,0.127139,0.145929
10,4.45,12.45,131,caught,0.9945,0.9945,0.133368,0.234979
11,-3.5,-16.5,400,timeout,0.994,0.994,0.134733,0.530363
12,2.5,10.5,170,caught,0.9935,0.9935,0.224381,0.146392
13,-13.45,-0.45,389,timeout,0.993,0.993,0.225718,0.158057
14,3.55,16.55,49,caught,0.9925,0.9925,0.157121,0.179276
15,9.0,-14.0,400,timeout,0.992,0.992,0.493625,0.146655
16,-5.2,2.8,324,timeout,0.9915,0.9915,1.327804,0.15358
17,-18.25,9.75,185,caught,0.991,0.991,0.116276,0.268583
18,-14.5,-15.5,400,timeout,0.9905,0.9905,0.110391,0.177423
19,-1.5,-13.5,400,timeout,0.99,0.99,0.088885,0.150578
20,11.0,-16.0,400,cleared,0.9896,0.9896,0.106566,0.18258
21,-2.7,15.3,74,caught,0.9891,0.9891,0.112386,0.129428
22,-15.55,12.45,131,caught,0.9886,0.9886,0.645387,0.17546
23,-2.5,-17.5,400,timeout,0.9881,0.9881,0.0906,0.267881
24,2.1,0.1,378,timeout,0.9876,0.9876,0.388949,0.25436
25,1.0,-16.0,400,timeout,0.9871,0.9871,0.090941,0.139668
26,11.0,-16.0,400,cleared,0.9866,0.9866,0.451489,0.286458
27,-6.1,11.9,142,caught,0.9861,0.9861,0.25466,0.206249
28,8.5,-13.5,400,timeout,0.9856,0.9856,0.238598,0.220402
29,-7.95,5.05,279,caught,0.9851,0.9851,0.285539,0.212224
30,-0.1,7.9,222,caught,0.9846,0.9846,0.475285,0.374481
31,-2.5,-12.5,400,timeout,0.9841,0.9841,0.44399,0.23857
32,-3.5,-16.5,400,timeout,0.9836,0.9836,0.234432,0.248318
33,13.5,-13.5,400,cleared,0.9831,0.9831,0.161508,0.217928
34,-17.9,0.1,378,timeout,0.9826,0.9826,0.229865,0.522387
