episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,-1.9,61.1,458,caught,0.9995,0.9995,0.270775,0.140513
1,-17.35,65.65,367,caught,0.999,0.999,1.278347,0.389785
2,-8.8,69.2,296,caught,0.9985,0.9985,2.804112,0.384453
3,-26.9,56.1,558,caught,0.998,0.998,0.310539,2.279134
4,-13.35,69.65,287,caught,0.9975,0.9975,0.58873,18.292847
5,-22.9,80.1,78,caught,0.997,0.997,0.328521,20.837383
6,0.65,68.65,307,caught,0.9965,0.9965,5.901157,16.063091
7,-29.7,68.3,314,caught,0.996,0.996,0.429571,5.099874
8,-27.25,70.75,265,caught,0.9955,0.9955,4.426096,0.981502
9,15.5,-25.5,600,cleared,0.995,0.995,4.977286,12.093079
10,23.0,-23.0,600,cleared,0.9945,0.9945,0.280291,0.534798
11,-29.4,73.6,208,caught,0.994,0.994,0.551365,6.756108
12,-23.35,69.65,287,caught,0.9935,0.9935,4.03884,1.127837
13,-17.5,75.5,170,caught,0.993,0.993,0.292602,0.288571
14,-25.9,77.1,138,caught,0.9925,0.9925,0.192671,1.633661
15,9.0,-24.0,600,timeout,0.992,0.992,0.149317,0.323417
16,-1.0,-24.0,600,timeout,0.9915,0.9915,0.213187,3.70108
17,-33.75,64.25,395,caught,0.991,0.991,1.435017,0.427165
18,10.5,-25.5,600,cleared,0.9905,0.9905,0.246211,0.396556
19,6.0,-26.0,600,timeout,0.99,0.99,0.199882,0.448757
20,-1.85,56.15,557,caught,0.9896,0.9896,0.306577,5.7248
21,-21.8,76.2,156,caught,0.9891,0.9891,1.112973,0.685216
22,-22.35,60.65,467,caught,0.9886,0.9886,0.171733,0.330045
23,-22.75,65.25,375,caught,0.9881,0.9881,0.176685,0.396496
24,21.5,-26.5,600,cleared,0.9876,0.9876,0.18391,1.681339
25,-15.25,62.75,425,caught,0.9871,0.9871,0.164026,0.601795
26,-0.5,-24.5,600,timeout,0.9866,0.9866,0.585548,8.711731
