episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,-8.0,-10.0,580,timeout,0.9995,0.9995,0.962307,0.106476
1,-18.9,14.1,98,caught,0.999,0.999,0.121234,1.038206
2,-18.0,-27.0,600,timeout,0.9985,0.9985,0.065848,0.157424
3,-5.15,12.85,123,caught,0.998,0.998,0.899943,0.965043
4,-6.0,-24.0,600,timeout,0.9975,0.9975,0.126671,0.099898
5,-26.55,1.45,351,timeout,0.997,0.997,0.075362,0.146124
6,5.5,-25.5,600,timeout,0.9965,0.9965,0.068456,0.126238
7,-7.1,10.9,162,caught,0.996,0.996,0.167432,0.162606
8,7.35,10.35,173,caught,0.9955,0.9955,0.385392,0.127902
9,-26.55,-8.55,551,timeout,0.995,0.995,0.392844,0.155633
10,9.5,-24.5,600,timeout,0.9945,0.9945,0.107517,0.721254
11,2.5,-27.5,600,timeout,0.994,0.994,0.058753,0.241804
12,-14.9,-6.9,518,timeout,0.9935,0.9935,0.076799,0.155871
13,-22.9,5.1,278,caught,0.993,0.993,0.378073,0.179246
14,-21.7,1.3,354,timeout,0.9925,0.9925,0.071403,0.17993
15,-16.45,1.55,349,timeout,0.992,0.992,0.105395,0.290393
16,-20.15,-2.15,423,timeout,0.9915,0.9915,0.065293,0.192853
17,-9.95,8.05,219,caught,0.991,0.991,0.075234,0.186415
18,-9.5,-25.5,600,timeout,0.9905,0.9905,0.07174,0.168555
19,2.0,-27.0,600,timeout,0.99,0.99,0.128745,0.496031
20,-17.5,-22.5,600,timeout,0.9896,0.9896,0.092529,0.152211
21,-7.95,-4.95,479,timeout,0.9891,0.9891,0.151304,0.190535
22,-7.5,-22.5,600,timeout,0.9886,0.9886,0.095879,0.191098
23,-26.1,11.9,142,caught,0.9881,0.9881,0.169219,0.155292
24,7.75,15.75,65,caught,0.9876,0.9876,0.087869,0.166323
25,-9.65,8.35,213,caught,0.9871,0.9871,0.076281,0.193263
26,-6.5,-3.5,450,timeout,0.9866,0.9866,0.205273,0.164147
27,-20.95,2.05,339,timeout,0.9861,0.9861,0.21977,0.169599
28,-22.85,0.15,377,timeout,0.9856,0.9856,0.186598,0.396224
29,-24.15,3.85,303,timeout,0.9851,0.9851,0.258832,0.205888
30,-19.3,13.7,106,caught,0.9846,0.9846,0.165337,0.307905
31,-18.75,9.25,195,caught,0.9841,0.9841,0.165953,0.443008
32,-14.5,-25.5,600,timeout,0.9836,0.9836,0.161502,0.217293
33,-8.5,4.5,290,timeout,0.9831,0.9831,0.406243,0.176953
34,-30.45,-7.45,529,timeout,0.9826,0.9826,0.161806,0.189908
35,-21.2,-3.2,444,timeout,0.9822,0.9822,0.160709,0.460758
36,-3.4,-0.4,388,timeout,0.9817,0.9817,0.155486,0.17097
37,-19.5,-25.5,600,timeout,0.9812,0.9812,0.090892,0.159202
38,-26.6,-8.6,552,timeout,0.9807,0.9807,0.091648,0.162573
39,-17.6,0.4,372,timeout,0.9802,0.9802,0.09666,0.212491
40,-17.2,10.8,164,caught,0.9797,0.9797,0.14567,0.151251
41,1.5,-26.5,600,timeout,0.9792,0.9792,0.122296,0.185335
42,-9.15,-1.15,403,timeout,0.9787,0.9787,0.307399,0.524768
43,-13.45,14.55,89,caught,0.9782,0.9782,0.094917,0.169843
44,-15.1,2.9,322,timeout,0.9777,0.9777,0.429629,0.169837
45,-6.5,-23.5,600,timeout,0.9773,0.9773,0.133898,0.203884
46,-17.35,-4.35,467,timeout,0.9768,0.9768,0.662871,0.18064
47,-6.6,-8.6,552,timeout,0.9763,0.9763,0.486391,0.231542
48,-22.25,0.75,365,timeout,0.9758,0.9758,0.195527,0.229506
49,-27.15,-9.15,563,timeout,0.9753,0.9753,0.191069,0.145884
50,-4.5,-25.5,600,timeout,0.9748,0.9748,0.11909,0.138138
51,-17.2,5.8,264,caught,0.9743,0.9743,0.373372,0.990237
52,4.35,2.35,333,timeout,0.9738,0.9738,0.289747,0.80649
53,-13.05,14.95,81,caught,0.9734,0.9734,0.224834,1.077706
54,-16.0,-24.0,600,timeout,0.9729,0.9729,1.093538,0.318907
55,-8.65,14.35,93,caught,0.9724,0.9724,0.198671,0.223504
56,-6.0,-24.0,600,timeout,0.9719,0.9719,0.306528,0.302076
57,-17.15,0.85,363,timeout,0.9714,0.9714,0.243411,0.546112
58,-0.0,-25.0,600,timeout,0.9709,0.9709,0.243616,0.195448
59,-20.0,-2.0,420,timeout,0.9704,0.9704,0.272298,0.265806
60,-1.0,-24.0,600,timeout,0.97,0.97,0.23961,1.412156
61,-20.0,-25.0,600,timeout,0.9695,0.9695,0.236055,0.227581
62,-12.5,-22.5,600,timeout,0.969,0.969,0.221629,0.376339
63,-6.1,6.9,242,caught,0.9685,0.9685,0.194343,0.595818
64,-7.45,0.55,369,timeout,0.968,0.968,0.260855,0.253444
65,-6.8,-8.8,556,timeout,0.9675,0.9675,0.202886,0.394835
66,-12.8,-4.8,476,timeout,0.967,0.967,0.205464,0.153097
67,-11.75,11.25,155,caught,0.9666,0.9666,0.179117,0.252541
68,0.65,13.65,107,caught,0.9661,0.9661,0.197942,0.237316
69,-6.0,-24.0,600,timeout,0.9656,0.9656,0.159303,0.241619
70,-17.25,5.75,265,caught,0.9651,0.9651,0.34038,0.211058
71,-27.8,5.2,276,caught,0.9646,0.9646,0.207041,0.297876
72,-14.7,-1.7,414,timeout,0.9641,0.9641,0.235842,0.227929
73,-12.95,-4.95,479,timeout,0.9637,0.9637,0.205118,0.229239
74,-21.0,12.0,140,caught,0.9632,0.9632,0.193722,0.22993
75,-27.25,-4.25,465,timeout,0.9627,0.9627,0.280763,0.507011
76,2.5,-22.5,600,timeout,0.9622,0.9622,0.430765,0.702855
77,-16.35,1.65,347,timeout,0.9617,0.9617,0.416127,0.615315
78,-15.4,2.6,328,timeout,0.9613,0.9613,0.303122,0.580495
79,-6.75,6.25,255,caught,0.9608,0.9608,0.302682,0.513819
80,-18.1,-5.1,482,timeout,0.9603,0.9603,0.797659,0.655506
81,-11.75,-8.75,555,timeout,0.9598,0.9598,0.300576,0.566734
82,-25.6,-2.6,432,timeout,0.9593,0.9593,0.269096,0.367641
83,-30.1,-2.1,422,timeout,0.9589,0.9589,0.317429,0.849074
84,-22.7,0.3,374,timeout,0.9584,0.9584,0.415678,0.261572
85,-3.45,14.55,89,caught,0.9579,0.9579,0.252168,0.340406
86,-13.95,14.05,99,caught,0.9574,0.9574,3.100562,0.694473
87,-7.85,0.15,377,timeout,0.9569,0.9569,0.234634,0.486139
88,1.0,-26.0,600,timeout,0.9565,0.9565,0.422374,0.195867
89,-14.5,-25.5,600,timeout,0.956,0.956,0.339436,1.553586
90,-0.95,-7.95,539,timeout,0.9555,0.9555,0.28113,0.452721
91,-5.15,12.85,123,caught,0.955,0.955,0.300647,0.278416
92,-20.55,17.45,31,caught,0.9546,0.9546,0.250333,0.614014
93,0.0,-25.0,600,timeout,0.9541,0.9541,0.277746,1.121944
94,-11.3,11.7,146,caught,0.9536,0.9536,0.237289,0.474379
95,-17.6,5.4,272,caught,0.9531,0.9531,0.182869,0.936889
96,-2.5,10.5,170,caught,0.9526,0.9526,0.261476,0.498422
97,-17.2,-9.2,564,timeout,0.9522,0.9522,0.303167,0.277934
98,-1.0,-24.0,600,timeout,0.9517,0.9517,0.198662,0.396118
99,-15.3,7.7,226,caught,0.9512,0.9512,0.192954,0.408971
100,-14.2,8.8,204,caught,0.9507,0.9507,0.341399,0.26756
101,-10.95,12.05,139,caught,0.9503,0.9503,0.583028,0.193553
102,-18.7,-0.7,394,timeout,0.9498,0.9498,0.395039,0.54183
103,-22.3,5.7,266,caught,0.9493,0.9493,0.453271,0.359477
104,-19.4,3.6,308,timeout,0.9488,0.9488,0.354943,1.170551
105,-7.0,-23.0,600,timeout,0.9484,0.9484,0.255337,0.37929
106,-18.9,14.1,98,caught,0.9479,0.9479,0.423794,0.921137
107,0.0,-25.0,600,timeout,0.9474,0.9474,0.347306,0.301931
108,6.0,-26.0,600,timeout,0.9469,0.9469,0.269031,0.598711
109,-22.25,5.75,265,caught,0.9465,0.9465,0.362077,1.296321
110,-7.5,-22.5,600,timeout,0.946,0.946,0.538227,0.511059
111,-16.85,1.15,357,timeout,0.9455,0.9455,0.388314,0.184253
112,-22.15,10.85,163,caught,0.9451,0.9451,0.360695,0.243546
113,-10.5,-24.5,600,timeout,0.9446,0.9446,0.400408,0.661706
114,-15.55,12.45,131,caught,0.9441,0.9441,0.349473,0.46327
115,-15.75,2.25,335,timeout,0.9436,0.9436,0.273916,0.205545
116,-21.4,-3.4,448,timeout,0.9432,0.9432,0.352979,0.25821
117,-23.6,-10.6,592,timeout,0.9427,0.9427,0.344068,1.344441
118,2.5,-27.5,600,timeout,0.9422,0.9422,0.217975,1.160154
119,5.5,-25.5,600,timeout,0.9418,0.9418,0.202815,0.23281
120,-6.5,-23.5,600,timeout,0.9413,0.9413,0.236526,1.096436
121,3.8,11.8,144,caught,0.9408,0.9408,0.247117,0.476154
122,-5.7,12.3,134,caught,0.9403,0.9403,0.377074,0.325331
123,-18.0,-22.0,600,timeout,0.9399,0.9399,0.338817,0.638783
124,-10.25,-2.25,425,timeout,0.9394,0.9394,0.257934,0.7756
125,-12.0,-23.0,600,timeout,0.9389,0.9389,0.227612,0.240184
126,-20.7,-7.7,534,timeout,0.9385,0.9385,0.423893,1.049012
127,3.1,-3.9,458,timeout,0.938,0.938,0.416604,0.327578
128,-15.1,12.9,122,caught,0.9375,0.9375,0.335076,0.898608
129,-19.0,14.0,100,caught,0.9371,0.9371,0.310044,0.800594
130,-20.25,-2.25,425,timeout,0.9366,0.9366,0.296942,0.902556
131,-22.15,10.85,163,caught,0.9361,0.9361,0.340692,2.27623
132,-19.65,3.35,313,timeout,0.9356,0.9356,0.309601,0.22974
133,-18.05,-5.05,481,timeout,0.9352,0.9352,0.276095,0.427837
134,-11.65,6.35,253,caught,0.9347,0.9347,0.302859,1.601081
135,-38.35,-10.35,587,timeout,0.9342,0.9342,0.373772,0.789097
136,-17.15,15.85,63,caught,0.9338,0.9338,0.345177,1.007885
137,-17.65,5.35,273,caught,0.9333,0.9333,0.271455,0.715206
138,-6.85,6.15,257,caught,0.9328,0.9328,0.301634,0.760924
139,-12.55,5.45,271,caught,0.9324,0.9324,0.372682,1.406496
140,-18.25,14.75,85,caught,0.9319,0.9319,0.224493,0.497066
141,-21.0,-24.0,600,timeout,0.9314,0.9314,0.220482,0.908888
142,-12.45,-9.45,569,timeout,0.931,0.931,0.484755,1.464894
143,-29.1,-1.1,402,timeout,0.9305,0.9305,0.311668,1.253502
144,-8.0,-27.0,600,timeout,0.93,0.93,0.342848,0.356341
145,-4.4,8.6,208,caught,0.9296,0.9296,0.253543,0.771543
146,-24.25,3.75,305,timeout,0.9291,0.9291,0.304984,0.382384
147,-8.5,-26.5,600,timeout,0.9287,0.9287,0.371646,0.75672
148,-4.95,-1.95,419,timeout,0.9282,0.9282,0.263476,0.30749
149,-5.2,12.8,124,caught,0.9277,0.9277,0.493201,0.439139
150,-27.2,-9.2,564,timeout,0.9273,0.9273,0.33482,1.293447
151,-16.3,11.7,146,caught,0.9268,0.9268,0.504966,1.270334
152,-28.0,-27.0,600,timeout,0.9263,0.9263,0.417845,2.259317
153,-4.0,-26.0,600,timeout,0.9259,0.9259,0.335093,1.102578
154,0.95,13.95,101,caught,0.9254,0.9254,0.263523,2.769349
155,-10.4,-7.4,528,timeout,0.9249,0.9249,0.372589,1.064955
156,-9.05,-1.05,401,timeout,0.9245,0.9245,0.32921,0.268216
157,-14.35,13.65,107,caught,0.924,0.924,0.273223,2.328275
158,-3.15,4.85,283,timeout,0.9236,0.9236,0.303311,1.056713
159,-13.8,-0.8,396,timeout,0.9231,0.9231,0.297391,1.076901
160,0.1,13.1,118,caught,0.9226,0.9226,0.267625,1.649809
161,-1.0,-24.0,600,timeout,0.9222,0.9222,0.308514,1.230589
162,6.5,-26.5,600,timeout,0.9217,0.9217,0.178222,0.323387
163,-14.0,-26.0,600,timeout,0.9213,0.9213,0.437499,0.272621
164,-22.85,10.15,177,caught,0.9208,0.9208,0.350135,0.817486
165,-20.5,-24.5,600,timeout,0.9203,0.9203,0.262085,1.625103
