episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,-29.2,58.8,504,caught,0.9995,0.9995,0.117728,0.107153
1,-25.9,72.1,238,caught,0.999,0.999,0.214761,44.112026
2,5.5,-25.5,600,timeout,0.9985,0.9985,0.953647,0.449522
3,-21.05,61.95,441,caught,0.998,0.998,0.170194,0.387087
4,-1.0,-24.0,600,timeout,0.9975,0.9975,0.425704,1.250581
5,-2.0,-23.0,600,timeout,0.997,0.997,0.168294,0.165278
6,-14.35,78.65,107,caught,0.9965,0.9965,0.172179,0.255172
7,-7.65,55.35,573,caught,0.996,0.996,0.145264,41.870434
8,-24.25,73.75,205,caught,0.9955,0.9955,0.180925,4.374215
9,-1.5,66.5,350,caught,0.995,0.995,0.274167,4.014734
10,-21.85,61.15,457,caught,0.9945,0.9945,0.321175,0.555465
11,-38.6,64.4,392,caught,0.994,0.994,0.179279,9.618139
12,-9.65,68.35,313,caught,0.9935,0.9935,0.203576,0.766979
13,-17.15,75.85,163,caught,0.993,0.993,0.242013,0.334277
14,-13.8,59.2,496,caught,0.9925,0.9925,0.199145,14.230018
15,-4.3,73.7,206,caught,0.992,0.992,0.131159,0.490523
16,-16.85,81.15,57,caught,0.9915,0.9915,1.759185,11.705653
17,-17.95,75.05,179,caught,0.991,0.991,0.252799,3.996177
18,16.5,-26.5,600,cleared,0.9905,0.9905,1.439952,3.922363
19,-12.0,76.0,160,caught,0.99,0.99,0.304075,0.326859
20,-29.0,79.0,100,caught,0.9896,0.9896,0.184516,0.451648
21,-31.7,76.3,154,caught,0.9891,0.9891,0.236987,24.787596
22,-36.6,61.4,452,caught,0.9886,0.9886,0.192389,1.409834
23,-8.5,-26.5,600,timeout,0.9881,0.9881,0.312492,0.502488
24,-26.05,66.95,341,caught,0.9876,0.9876,0.335315,0.345769
25,20.0,-25.0,600,cleared,0.9871,0.9871,0.264812,0.405177
26,-17.0,-23.0,600,timeout,0.9866,0.9866,0.435501,0.943945
27,6.5,-26.5,600,timeout,0.9861,0.9861,0.237429,4.333216
28,-1.0,-24.0,600,timeout,0.9856,0.9856,0.486251,0.59529
29,-6.0,-24.0,600,timeout,0.9851,0.9851,0.288295,2.484837
30,-15.85,72.15,237,caught,0.9846,0.9846,0.267719,2.092034
31,-8.5,79.5,90,caught,0.9841,0.9841,0.463611,17.112844
32,-22.0,56.0,560,caught,0.9836,0.9836,0.343165,24.018063
33,-9.15,68.85,303,caught,0.9831,0.9831,0.364363,0.756382
34,-12.8,75.2,176,caught,0.9826,0.9826,0.272344,2.358186
35,-28.85,59.15,497,caught,0.9822,0.9822,0.28273,25.759521
36,-6.0,-24.0,600,timeout,0.9817,0.9817,0.268792,1.183542
37,-23.55,69.45,291,caught,0.9812,0.9812,0.306922,0.540567
38,29.0,-24.0,600,cleared,0.9807,0.9807,0.320287,0.616576
39,-1.5,-23.5,600,timeout,0.9802,0.9802,0.41558,3.857687
40,-19.75,68.25,315,caught,0.9797,0.9797,0.208243,0.570594
41,-6.45,76.55,149,caught,0.9792,0.9792,0.23103,0.863593
42,-0.0,63.0,420,caught,0.9787,0.9787,0.306527,7.401308
43,-18.4,54.6,588,caught,0.9782,0.9782,0.279893,2.485149
44,-19.2,68.8,304,caught,0.9777,0.9777,0.29333,8.090561
45,-9.15,58.85,503,caught,0.9773,0.9773,0.283626,3.386014
46,-30.2,62.8,424,caught,0.9768,0.9768,0.367694,0.964771
47,-23.6,74.4,192,caught,0.9763,0.9763,0.324495,6.448278
48,-23.55,79.45,91,caught,0.9758,0.9758,1.568707,17.252853
49,-33.8,74.2,196,caught,0.9753,0.9753,0.205613,0.467963
50,-23.9,64.1,398,caught,0.9748,0.9748,0.356036,2.860837
51,-15.4,72.6,228,caught,0.9743,0.9743,0.560127,18.896685
52,10.0,-25.0,600,timeout,0.9738,0.9738,1.423508,24.776812
53,-13.5,59.5,490,caught,0.9734,0.9734,0.404032,6.117554
