episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
88,14.0,-15.0,600,cleared,0.9565,0.9565,0.466521,0.437782
89,34.5,-14.5,600,cleared,0.956,0.956,0.790051,0.205589
90,-8.29,8.71,343,caught,0.9555,0.9555,0.397945,0.348138
91,-6.08,17.92,36,caught,0.955,0.955,0.550332,0.74078
92,10.5,-11.5,600,cleared,0.9546,0.9546,0.453126,0.443744
93,32.5,-12.5,600,cleared,0.9541,0.9541,0.449408,0.391646
94,60.0,-12.0,600,cleared,0.9536,0.9536,0.55836,0.181857
95,1.23,11.23,259,caught,0.9531,0.9531,0.47064,0.46589
96,18.23,14.23,159,caught,0.9526,0.9526,0.347506,0.551926
97,40.0,-13.0,600,cleared,0.9522,0.9522,0.668353,0.885666
98,39.5,-12.5,600,cleared,0.9517,0.9517,0.427132,0.196489
99,50.5,-16.5,600,cleared,0.9512,0.9512,0.575953,0.473983
100,12.56,8.56,348,caught,0.9507,0.9507,0.606985,0.213533
101,22.26,11.26,258,caught,0.9503,0.9503,0.828315,0.966684
102,23.88,12.88,204,caught,0.9498,0.9498,0.662202,1.155803
103,14.66,10.66,278,caught,0.9493,0.9493,0.606627,0.511785
104,4.11,14.11,163,caught,0.9488,0.9488,0.855315,0.805311
105,7.22,3.22,526,timeout,0.9484,0.9484,0.674419,0.294151
106,-2.56,14.44,152,caught,0.9479,0.9479,0.680416,0.275972
107,-14.16,16.84,72,caught,0.9474,0.9474,0.534088,2.160022
108,-0.61,16.39,87,caught,0.9469,0.9469,0.837517,0.486073
109,8.17,11.17,261,caught,0.9465,0.9465,0.765432,0.347149
110,28.0,-15.0,600,cleared,0.946,0.946,0.573211,0.61144
111,6.02,2.02,566,timeout,0.9455,0.9455,0.747916,0.22456
112,11.98,14.98,134,caught,0.9451,0.9451,0.731308,0.397909
113,-1.57,15.43,119,caught,0.9446,0.9446,0.725336,1.642638
114,21.0,10.0,300,caught,0.9441,0.9441,0.564403,2.657795
115,4.0,-12.0,600,timeout,0.9436,0.9436,0.706861,0.320085
116,-15.93,15.07,131,caught,0.9432,0.9432,0.8733,0.563788
117,-20.05,17.95,35,caught,0.9427,0.9427,0.62987,0.650837
118,43.66,4.66,478,cleared,0.9422,0.9422,0.63813,0.325503
119,48.5,-14.5,600,cleared,0.9418,0.9418,0.631841,1.010351
120,-7.64,16.36,88,caught,0.9413,0.9413,0.527499,0.484516
121,13.88,9.88,304,caught,0.9408,0.9408,0.918971,0.503374
122,-4.21,12.79,207,caught,0.9403,0.9403,0.515759,0.68094
123,40.5,8.5,350,caught,0.9399,0.9399,0.385758,0.388495
124,13.72,16.72,76,caught,0.9394,0.9394,0.920736,1.121107
125,46.5,-12.5,600,cleared,0.9389,0.9389,0.601936,0.586243
126,-6.77,17.23,59,caught,0.9385,0.9385,1.62079,0.98911
127,1.69,4.69,477,timeout,0.938,0.938,0.802446,1.816109
128,11.32,14.32,156,caught,0.9375,0.9375,0.834028,1.09955
129,14.84,10.84,272,caught,0.9371,0.9371,2.032962,0.338884
130,40.5,-13.5,600,cleared,0.9366,0.9366,0.920401,1.139802
131,20.63,16.63,79,caught,0.9361,0.9361,1.020488,1.539032
132,5.67,15.67,111,caught,0.9356,0.9356,0.711683,2.579976
133,37.37,12.37,221,caught,0.9352,0.9352,0.614913,3.155697
134,1.95,11.95,235,caught,0.9347,0.9347,0.719474,0.750975
135,7.03,10.03,299,caught,0.9342,0.9342,0.675247,1.002836
136,58.0,-10.0,600,cleared,0.9338,0.9338,0.995728,1.188565
137,23.98,5.98,434,caught,0.9333,0.9333,0.615013,1.921225
138,47.47,8.47,351,caught,0.9328,0.9328,0.579092,0.811512
139,19.14,8.14,362,caught,0.9324,0.9324,0.844363,0.941932
140,17.0,-11.0,600,cleared,0.9319,0.9319,0.625735,0.316324
141,24.0,-11.0,600,cleared,0.9314,0.9314,0.596974,0.553884
142,11.11,14.11,163,caught,0.931,0.931,0.595003,0.93387
143,39.62,14.62,146,caught,0.9305,0.9305,0.671973,0.561432
144,-3.97,13.03,199,caught,0.93,0.93,0.50975,1.444071
145,13.61,9.61,313,caught,0.9296,0.9296,0.415069,1.728522
146,37.23,5.23,459,caught,0.9291,0.9291,0.816457,0.310638
147,17.0,13.0,200,caught,0.9287,0.9287,0.727969,0.226912
148,9.83,5.83,439,caught,0.9282,0.9282,0.561719,0.87502
149,29.2,11.2,260,caught,0.9277,0.9277,0.736417,1.952143
150,-6.8,17.2,60,caught,0.9273,0.9273,0.753152,0.470007
151,2.73,12.73,209,caught,0.9268,0.9268,1.566605,0.851861
152,37.71,5.71,443,caught,0.9263,0.9263,0.998295,0.250956
153,0.38,17.38,54,caught,0.9259,0.9259,1.025416,0.792437
154,66.5,-11.5,600,cleared,0.9254,0.9254,2.329905,0.330448
155,-15.48,15.52,116,caught,0.9249,0.9249,0.760728,2.575434
