episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,1.1,10.1,220,caught,1.0,1.0,0.0,0.0
1,11.12,10.12,219,caught,0.9498,0.9498,0.16367,0.459024
2,26.25,-10.25,600,cleared,0.8029,0.8029,0.017944,0.031187
3,20.96,4.96,477,cleared,0.7025,0.7025,0.022663,0.039347
4,-10.44,13.56,47,caught,0.6933,0.6933,0.015181,0.152215
5,13.18,7.18,366,caught,0.6258,0.6258,0.448296,0.144186
6,-6.86,12.14,118,caught,0.6055,0.6055,0.022491,0.125494
7,29.86,3.86,532,cleared,0.5217,0.5217,0.090329,0.354693
8,0.1,14.1,20,caught,0.5187,0.5187,0.114201,0.483326
9,5.52,4.52,499,timeout,0.4511,0.4511,0.030798,0.050157
10,0.04,14.04,23,caught,0.4482,0.4482,0.041889,0.093673
11,35.25,-9.25,600,cleared,0.3789,0.3789,0.09449,0.133682
12,-11.02,12.98,76,caught,0.3709,0.3709,0.119383,0.106785
13,-15.8,13.2,65,caught,0.3642,0.3642,0.174467,0.106422
14,-5.82,13.18,66,caught,0.3576,0.3576,0.067437,0.044461
15,26.5,-10.5,600,cleared,0.3023,0.3023,0.120834,0.049368
16,-5.18,13.82,34,caught,0.2994,0.2994,0.066879,0.046089
17,6.25,-10.25,600,timeout,0.2531,0.2531,0.044864,0.039434
18,-12.5,6.5,400,caught,0.2263,0.2263,0.034611,0.050861
19,5.0,-9.0,600,timeout,0.1913,0.1913,0.102898,0.063326
20,-4.86,14.14,18,caught,0.1903,0.1903,0.08334,0.064275
21,-13.76,10.24,213,caught,0.1793,0.1793,0.112815,0.171814
22,-11.62,12.38,106,caught,0.1741,0.1741,0.089987,0.094158
23,20.25,-9.25,600,cleared,0.1471,0.1471,0.055036,0.113551
24,-10.76,13.24,63,caught,0.1446,0.1446,0.099474,0.123804
25,-6.4,12.6,95,caught,0.1408,0.1408,0.105059,0.109289
26,-10.74,13.26,62,caught,0.1383,0.1383,0.083089,0.106622
27,-7.92,11.08,171,caught,0.1319,0.1319,0.681519,0.080646
28,-9.96,14.04,23,caught,0.131,0.131,0.310221,0.102769
29,-14.86,14.14,18,caught,0.1304,0.1304,0.083268,0.165464
30,-10.34,13.66,42,caught,0.1288,0.1288,0.062647,0.070276
31,-0.48,13.52,49,caught,0.1271,0.1271,0.31991,0.206905
32,7.98,11.98,126,caught,0.1227,0.1227,0.179468,0.248815
33,4.94,13.94,28,caught,0.1217,0.1217,0.200963,0.128964
34,16.18,10.18,216,caught,0.1146,0.1146,0.152537,0.187777
35,-4.94,14.06,22,caught,0.1139,0.1139,0.242226,0.200044
36,-5.08,13.92,29,caught,0.113,0.113,0.176881,0.111307
37,16.25,-10.25,600,cleared,0.1,0.1,0.071628,0.124443
38,-15.0,14.0,25,caught,0.1,0.1,0.128593,0.068855
39,-10.48,13.52,49,caught,0.1,0.1,0.133257,0.121267
40,-0.16,13.84,33,caught,0.1,0.1,0.218605,0.108381
41,39.75,-8.75,600,cleared,0.1,0.1,0.145428,0.183022
42,5.75,-9.75,600,timeout,0.1,0.1,0.918863,0.133497
43,2.8,11.8,135,caught,0.1,0.1,0.440908,0.300623
44,13.88,12.88,81,caught,0.1,0.1,0.135414,0.506906
45,-5.04,13.96,27,caught,0.1,0.1,0.151847,0.226372
